# Time-averaged data for fix myat1
# TimeStep v_mytemp
21100 302.768
21200 297.144
21300 301.214
21400 289.036
21500 290.642
21600 297.448
21700 299.791
21800 301.026
21900 297.854
22000 318.727
22100 309.735
22200 300.495
22300 295.071
22400 298.063
22500 301.776
22600 310.37
22700 307.642
22800 305.827
22900 304.972
23000 296.005
23100 294.654
23200 304.192
23300 313.591
23400 297.26
23500 292.953
23600 296.892
23700 305.15
23800 305.628
23900 294.75
24000 295.809
24100 293.934
24200 298.981
24300 299.877
24400 309.03
24500 301.581
24600 298.529
24700 295.355
24800 297.03
24900 296.829
25000 306.389
25100 302.367
25200 295.039
25300 296.482
25400 295.516
25500 291.309
25600 302.676
25700 307.878
25800 301.74
25900 295.329
26000 294.018
26100 309.285
26200 311.362
26300 307.295
26400 297.67
26500 302.165
26600 299.39
26700 294.126
26800 299.324
26900 299.255
27000 303.842
27100 310.116
27200 307.01
27300 293.822
27400 295.97
27500 296.977
27600 308.736
27700 304.331
27800 297.223
27900 301.621
28000 298.173
28100 288.387
28200 291.492
28300 300.229
28400 293.737
28500 298.659
28600 298.609
28700 301.312
28800 303.147
28900 299.926
29000 287.902
29100 295.803
29200 303.349
29300 305.905
29400 298.788
29500 293.398
29600 291.941
29700 308.451
29800 309.197
29900 297.461
30000 300.687
30100 294.217
30200 289.36
30300 302.42
30400 302.16
30500 300.838
30600 300.316
30700 294.799
30800 296.875
30900 293.268
31000 298.926
31100 305.348
31200 301.972
31300 302.972
31400 290.527
31500 297.209
31600 297.996
31700 301.243
31800 300.611
31900 298.735
32000 301.123
32100 287.747
32200 303.111
32300 305.898
32400 304.38
32500 294.648
32600 298.25
32700 301.106
32800 297.854
32900 304.299
33000 303.576
33100 309.924
33200 304.009
33300 292.64
33400 297.967
33500 305.018
33600 300.811
33700 306.244
33800 308.177
33900 304.219
34000 297.937
34100 299.838
34200 301.909
34300 302.328
34400 292.88
34500 295.785
34600 295.3
34700 297.071
34800 299.672
34900 304.344
35000 297.744
35100 295.165
35200 291.583
35300 297.11
35400 303.353
35500 295.604
35600 297.485
35700 301.865
35800 307.004
35900 305.279
36000 304.058
36100 299.325
36200 294.768
36300 301.577
36400 298.32
36500 307.618
36600 304.637
36700 295.974
36800 304.856
36900 297.925
37000 296.41
37100 296.369
37200 299.795
37300 308.441
37400 300.875
37500 290.803
37600 300.294
37700 299.279
37800 300.734
37900 300.023
38000 295.097
38100 289.205
38200 301.084
38300 306.912
38400 299.575
38500 300.36
38600 299.574
38700 287.594
38800 293.661
38900 304.3
39000 309.171
39100 299.346
39200 303.447
39300 298.198
39400 297.437
39500 299.378
39600 299.876
39700 307.281
39800 295.299
39900 292.894
40000 295.584
40100 304.167
40200 299.89
40300 302.176
40400 304.486
40500 299.357
40600 294.28
40700 292.614
40800 298.687
40900 310.481
41000 302.591
41100 293.964
41200 296.716
41300 308.488
41400 308.499
41500 291.38
41600 296.164
41700 299.818
41800 308.722
41900 301.798
42000 294.325
42100 294.834
42200 303.237
42300 303.727
42400 305.171
42500 310.36
42600 299.672
42700 305.509
42800 300.812
42900 296.615
43000 297.646
43100 304.735
43200 306.8
43300 312.303
43400 306.836
43500 296.892
43600 301.76
43700 297.544
43800 295.318
43900 292.065
44000 304.932
44100 311.044
44200 293.597
44300 289.557
44400 303.9
44500 296.913
44600 299.419
44700 306.005
44800 297.14
44900 291.271
45000 299.058
45100 304.149
45200 296.399
45300 289.431
45400 298.863
45500 305.144
45600 305.789
45700 297.082
45800 286.959
45900 296.041
46000 296.811
46100 299.077
46200 306.172
46300 302.35
46400 292.933
46500 296.184
46600 300.134
46700 303.539
46800 309.117
46900 302.798
47000 289.013
47100 302.336
47200 305.146
47300 299.188
47400 294.42
47500 296.526
47600 297.573
47700 305.054
47800 301.719
47900 295.715
48000 301.15
48100 303.989
48200 299.881
48300 309.873
48400 300.958
48500 298.214
48600 294.708
48700 300.94
48800 307.066
48900 293.861
49000 304.979
49100 303.816
49200 293.982
49300 301.844
49400 299.552
49500 302.914
49600 308.485
49700 307.949
49800 296.215
49900 296.215
50000 300.424
50100 307.148
50200 310.574
50300 295.594
50400 303.238
50500 292.097
50600 299.939
50700 305.094
50800 309.976
50900 294.654
51000 294.159
51100 291.859
51200 303.513
51300 307.665
51400 301.078
51500 296.059
51600 296.995
51700 305.901
51800 307.49
51900 302.147
52000 299.521
52100 294.41
52200 290.608
52300 295.017
52400 302.801
52500 302.462
52600 295.496
52700 300.117
52800 302.033
52900 310.491
53000 298.046
53100 291.991
53200 299.573
53300 311.001
53400 308.816
53500 299.352
53600 301.23
53700 295.497
53800 298.559
53900 285.381
54000 288.409
54100 298.264
54200 302.582
54300 302.218
54400 301.179
54500 295.023
54600 291.979
54700 300.32
54800 297.427
54900 308.897
55000 309.874
55100 292.578
55200 293.057
55300 306.858
55400 303.775
55500 295.6
55600 299.959
55700 287.412
55800 292.12
55900 301.912
56000 303.009
56100 303.752
56200 297.033
56300 294.075
56400 291.867
56500 308.022
56600 301.691
56700 301.258
56800 294.757
56900 295.368
57000 290.579
57100 287.755
57200 302.777
57300 300.551
57400 299.835
57500 300.067
57600 311.637
57700 307.88
57800 291.777
57900 294.739
58000 302.722
58100 300.399
58200 307.46
58300 303.808
58400 301.968
58500 303.665
58600 297.189
58700 295.334
58800 298.677
58900 308.964
59000 305.286
59100 302.027
59200 299.41
59300 298.13
59400 295.23
59500 288.844
59600 292.737
59700 310.147
59800 298.011
59900 295.969
60000 302.089
