# Time-averaged data for fix myat2
# TimeStep v_delta_x
56800 25.6399
56900 25.7636
57000 25.8069
57100 25.752
57200 25.6099
57300 25.7294
57400 25.6183
57500 25.2038
57600 24.8719
57700 24.8959
57800 24.769
57900 25.4412
58000 25.8806
58100 25.9214
58200 25.5094
58300 25.3273
58400 25.8627
58500 25.8082
58600 25.9255
58700 25.6721
58800 25.4195
58900 25.6076
59000 25.9016
59100 25.9507
59200 25.9175
59300 25.8272
59400 26.092
59500 25.864
59600 25.9186
59700 25.5782
59800 25.6936
59900 26.0095
60000 26.0475
