# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy
5490 1.52593 -0.233507
5500 1.4866 -0.230578
5510 1.49789 -0.234356
5520 1.54065 -0.237981
5530 1.50459 -0.230048
5540 1.51242 -0.235045
5550 1.50076 -0.230658
5560 1.47319 -0.227061
5570 1.52679 -0.226506
5580 1.47117 -0.221531
5590 1.50137 -0.225269
5600 1.50194 -0.227034
5610 1.47715 -0.222821
5620 1.48616 -0.226232
5630 1.49529 -0.224073
5640 1.54491 -0.223341
5650 1.43129 -0.223236
5660 1.51455 -0.226303
5670 1.50683 -0.222289
5680 1.57653 -0.225148
5690 1.51252 -0.221677
5700 1.51278 -0.227266
5710 1.50757 -0.217775
5720 1.51309 -0.213331
5730 1.51247 -0.221594
5740 1.514 -0.220323
5750 1.52197 -0.218692
5760 1.47562 -0.228361
5770 1.44303 -0.223836
5780 1.50136 -0.226283
5790 1.49909 -0.226822
5800 1.48244 -0.226693
5810 1.45524 -0.225389
5820 1.49408 -0.229843
5830 1.48282 -0.225688
5840 1.47932 -0.222927
5850 1.50485 -0.223128
5860 1.50748 -0.223773
5870 1.50428 -0.225086
5880 1.51828 -0.222834
5890 1.47612 -0.225631
5900 1.49868 -0.22035
5910 1.5021 -0.227867
5920 1.53674 -0.225133
5930 1.50132 -0.216479
5940 1.51753 -0.214649
5950 1.46337 -0.214144
5960 1.46863 -0.212401
5970 1.49004 -0.22168
5980 1.5473 -0.216243
5990 1.46893 -0.224259
6000 1.47115 -0.224773
6010 1.45484 -0.22042
6020 1.51727 -0.219935
6030 1.4827 -0.224065
6040 1.50057 -0.22594
6050 1.53452 -0.230804
6060 1.46516 -0.226501
6070 1.51567 -0.222917
6080 1.4792 -0.228565
6090 1.45686 -0.222628
6100 1.46537 -0.222923
6110 1.44593 -0.21966
6120 1.52221 -0.22658
6130 1.48598 -0.22446
6140 1.4757 -0.227586
6150 1.47464 -0.23054
6160 1.49938 -0.229544
6170 1.47006 -0.225575
6180 1.49434 -0.230878
6190 1.50354 -0.231244
6200 1.51218 -0.236278
6210 1.55632 -0.234556
6220 1.53283 -0.23575
6230 1.48918 -0.236971
6240 1.51055 -0.234056
6250 1.50975 -0.236326
6260 1.51181 -0.237025
6270 1.55921 -0.23028
6280 1.55557 -0.226438
6290 1.54109 -0.232105
6300 1.51344 -0.234926
6310 1.52787 -0.237221
6320 1.55726 -0.23071
6330 1.58357 -0.226135
6340 1.53123 -0.227044
6350 1.53203 -0.221504
6360 1.51124 -0.230543
6370 1.51962 -0.232917
6380 1.54249 -0.228531
6390 1.50897 -0.223124
6400 1.51277 -0.229381
6410 1.55954 -0.231595
6420 1.52598 -0.235469
6430 1.48713 -0.22792
6440 1.50007 -0.228665
6450 1.5219 -0.229015
6460 1.48129 -0.224695
6470 1.49777 -0.233102
6480 1.46456 -0.226818
6490 1.47892 -0.224406
6500 1.47044 -0.229453
6510 1.47954 -0.231632
6520 1.45044 -0.229266
6530 1.50122 -0.22991
6540 1.46111 -0.227625
6550 1.48849 -0.22533
6560 1.53518 -0.235966
6570 1.51614 -0.231194
6580 1.46037 -0.232935
6590 1.47881 -0.233045
6600 1.46509 -0.234673
6610 1.51105 -0.220354
6620 1.47034 -0.230516
6630 1.48537 -0.230384
6640 1.5107 -0.225543
6650 1.52788 -0.226765
6660 1.49922 -0.228759
6670 1.54195 -0.224607
6680 1.49582 -0.223611
6690 1.47467 -0.226956
6700 1.5159 -0.220825
6710 1.45227 -0.224504
6720 1.49865 -0.229544
6730 1.47662 -0.223136
6740 1.50339 -0.224022
6750 1.51618 -0.229572
6760 1.48617 -0.223752
6770 1.43198 -0.22498
6780 1.52774 -0.219428
6790 1.5401 -0.229683
6800 1.48207 -0.234144
6810 1.50096 -0.233793
6820 1.50136 -0.227657
6830 1.55117 -0.226828
6840 1.54291 -0.226514
6850 1.53106 -0.222415
6860 1.51862 -0.224973
6870 1.49603 -0.228538
6880 1.49868 -0.225721
6890 1.51909 -0.229998
6900 1.48675 -0.225957
6910 1.52253 -0.226212
6920 1.53626 -0.228773
6930 1.51579 -0.233986
6940 1.52366 -0.236361
6950 1.57269 -0.234039
6960 1.55713 -0.236246
6970 1.46663 -0.234109
6980 1.46444 -0.23457
6990 1.48546 -0.239118
7000 1.52078 -0.238038
7010 1.46068 -0.236093
7020 1.47989 -0.23967
7030 1.49583 -0.241188
7040 1.56902 -0.244076
7050 1.54675 -0.241792
7060 1.56752 -0.245878
7070 1.50812 -0.243957
7080 1.48573 -0.243046
