# Time-averaged data for fix myat1
# TimeStep v_mytemp
21000 285.635
21100 290.784
21200 294.456
21300 302.438
21400 301.879
21500 298.493
21600 306.63
21700 312.477
21800 296.519
21900 293.854
22000 301.094
22100 303.67
22200 302.389
22300 299.158
22400 290.916
22500 297.091
22600 305.706
22700 300.405
22800 302.154
22900 288.527
23000 290.99
23100 296.185
23200 300.807
23300 305.723
23400 298.684
23500 291.5
23600 295.474
23700 295.861
23800 295.383
23900 296.937
24000 305.071
24100 303.761
24200 300.784
24300 294.934
24400 293.88
24500 285.807
24600 290.68
24700 294.155
24800 303.979
24900 298.555
25000 307.974
25100 306.387
25200 294.771
25300 297.684
25400 298.437
25500 306.797
25600 308.47
25700 300.444
25800 294.678
25900 299.214
26000 297.063
26100 303.901
26200 310.357
26300 304.278
26400 295.411
26500 300.071
26600 302.199
26700 307.878
26800 297.481
26900 293.606
27000 299.204
27100 303.283
27200 310.865
27300 308.086
27400 305.742
27500 298.821
27600 303.301
27700 298.488
27800 290.17
27900 294.832
28000 305.791
28100 303.198
28200 300.442
28300 293.473
28400 291.934
28500 305.435
28600 303.429
28700 301.025
28800 297.278
28900 297.948
29000 292.257
29100 295.32
29200 297.928
29300 304.658
29400 297.293
29500 311.637
29600 297.456
29700 291.972
29800 296.023
29900 305.761
30000 301.53
30100 299.99
30200 296.802
30300 304.053
30400 293.728
30500 296.976
30600 302.293
30700 306.206
30800 301.005
30900 289.534
31000 296.415
31100 305.966
31200 298.827
31300 304.219
31400 295.465
31500 295.1
31600 289.819
31700 301.548
31800 302.534
31900 295.375
32000 303.46
32100 309.477
32200 297.188
32300 291.744
32400 298.075
32500 309.482
32600 295.959
32700 291.003
32800 301.909
32900 304.068
33000 293.395
33100 296.494
33200 297.042
33300 300.991
33400 293.715
33500 292.737
33600 303.41
33700 302.513
33800 297.343
33900 303.401
34000 309.793
34100 295.059
34200 293.711
34300 304.024
34400 305.593
34500 292.525
34600 290.807
34700 303.383
34800 299.002
34900 305.467
35000 306.288
35100 304.033
35200 304.42
35300 301.89
35400 299.615
35500 297.071
35600 299.179
35700 304.375
35800 307.883
35900 299.769
36000 296.321
36100 300.226
36200 290.283
36300 292.066
36400 294.088
36500 300.004
36600 302.014
36700 304.37
36800 292.479
36900 295.742
37000 291.132
37100 307.928
37200 305.452
37300 302.546
37400 296.821
37500 294.993
37600 297.68
37700 298.388
37800 299.354
37900 303.593
38000 309.923
38100 313.708
38200 305.061
38300 299.132
38400 301.217
38500 298.479
38600 289.521
38700 298.972
38800 305.39
38900 299.946
39000 304.566
39100 297.189
39200 295.2
39300 297.707
39400 300.749
39500 299.141
39600 295.776
39700 298.833
39800 301.555
39900 313.027
40000 302.789
40100 293.222
40200 294.617
40300 307.611
40400 303.54
40500 295.778
40600 291.811
40700 286.811
40800 289.948
40900 295.888
41000 299.049
41100 302.08
41200 307.052
41300 296.925
41400 292.989
41500 299.124
41600 305.394
41700 294.328
41800 299.733
41900 309.004
42000 304.718
42100 286.81
42200 300.248
42300 300.319
42400 297.344
42500 298.9
42600 305.72
42700 300.43
42800 293.007
42900 292.084
43000 299.752
43100 300.443
43200 308.311
43300 302.864
43400 303.535
43500 301.299
43600 294.582
43700 304.329
43800 308.844
43900 308.409
44000 295.182
44100 288.471
44200 299.143
44300 305.359
44400 295.506
44500 299.643
44600 303.878
44700 309.501
44800 298
44900 301.766
45000 286.844
45100 291.033
45200 299.002
45300 300.509
45400 299.182
45500 306.158
45600 314.063
45700 296.961
45800 293.068
45900 295.064
46000 307.395
46100 304.046
46200 299.873
46300 296.662
46400 300.586
46500 302.205
46600 298.003
