# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
171000 -0.0335096 0.0610217
172000 0.00567019 -0.0732649
173000 -0.0159171 0.0807798
174000 -0.0220944 -0.0555959
175000 0.0627591 0.0228957
176000 -0.00795424 -0.0391244
177000 0.0136583 0.021049
178000 -0.0497415 -0.00819334
179000 0.0602888 -0.0211862
180000 -0.0622244 0.0717974
181000 -0.0129213 -0.0108118
182000 0.0509843 0.0273166
183000 0.0153419 -0.0840694
184000 -0.0481865 -0.0227574
185000 0.0894713 0.00891792
186000 -0.0510758 0.0979413
187000 -0.00853219 -0.0645617
188000 -0.00425226 0.000321623
189000 -0.0095131 -0.0182017
190000 0.0281756 0.0115652
191000 -0.0576587 -0.0222739
192000 0.0253478 0.0203488
193000 0.0308809 0.00831762
194000 0.0123634 -0.0232436
195000 -0.0181049 0.0243926
196000 0.0522304 -0.059842
197000 -0.0918337 0.011661
198000 0.110116 0.0559116
199000 -0.135238 -0.0291838
200000 0.0674781 -0.0854818
201000 -0.0112981 0.0297539
202000 -0.016014 0.0317048
203000 0.00604491 -0.0508632
204000 0.0504367 0.0530622
205000 0.0392216 -0.0146403
206000 -0.0786714 0.0879849
207000 0.0473138 0.0208478
208000 0.0195151 -0.0825504
209000 -0.0578438 0.0962251
210000 0.0295589 -0.0352037
211000 0.0054114 -0.0360767
212000 -0.068947 -0.000870144
213000 0.0743045 -0.0296972
214000 0.0383965 0.0242684
215000 -0.00560907 0.02557
216000 -0.119916 -0.0228251
217000 0.0836215 -0.030129
218000 -0.0703782 0.0605235
219000 -0.0303642 -0.0113258
220000 0.0960225 -0.0923776
221000 0.0155631 0.0438635
222000 -0.103124 -0.0230173
223000 0.0174386 0.0496503
224000 0.0610931 -0.00558468
225000 -0.00782851 -0.0510462
226000 -0.0291539 0.144818
227000 0.0219647 -0.0927503
228000 0.0306332 0.00342716
229000 -0.00259001 0.0395619
230000 0.0332904 -0.00275937
231000 -0.0160052 -0.0614543
232000 -0.0582423 0.0438716
233000 -0.0261231 0.00728373
234000 0.112722 -0.0500144
235000 -0.0119198 0.0705931
236000 -0.0743689 -0.0428655
237000 0.0427263 0.043256
238000 -0.033229 -0.0186047
239000 0.045782 0.0621191
240000 -0.0266965 -0.0365476
241000 0.0301256 -0.0416299
242000 -0.0105069 0.0999632
243000 0.065124 -0.110614
244000 -0.0503731 0.28202
245000 0.0347835 -0.226079
246000 0.0230257 0.0775633
247000 0.0330404 -0.00611779
248000 -0.0307342 -0.0691311
249000 -0.0161589 -0.0273165
250000 0.138373 0.0159411
251000 -0.136854 -0.00324687
252000 -0.00864887 0.0110095
253000 -0.0123722 -0.000558596
254000 0.0673927 -0.0453026
255000 0.0108107 0.0235808
256000 0.0605457 -0.0921206
257000 -0.0547183 0.0452731
258000 0.0191764 -0.0120483
259000 -0.0691168 0.0531426
260000 0.0589935 -0.0418097
261000 -0.0100596 -0.012932
262000 0.00731637 0.081618
263000 0.0535066 -0.0406178
264000 -0.0536838 0.0407218
265000 0.0986897 -0.0732901
266000 -0.113283 0.057246
267000 0.0497632 -0.0964628
268000 -0.0738019 0.00840034
269000 0.0916412 -0.0299641
270000 0.0111272 0.172829
271000 -0.0291239 -0.00640468
272000 -0.0605218 -0.135882
273000 0.0426813 0.0421984
274000 -0.035236 0.122623
275000 0.0408565 0.160487
276000 -0.0895145 -0.165129
277000 0.073027 -0.0649433
278000 -0.0200239 -0.0156841
279000 -0.0226815 0.106015
280000 0.0952544 0.0461302
281000 -0.132318 -0.0418986
282000 0.0753741 0.0319741
283000 -0.0238893 -0.057717
284000 0.0479757 0.147354
285000 0.0628006 -0.0207128
